Item No,Producto,Marca,Codigo tienda,Categoria,Sub- categoria,Cantidad,Estado del Producto,Fotografia ,Precio tienda,Precio a Jeffrey,Total,Columna 1,Columna 2
1,Limpiador en gel hidratante Hydro Boost con ácido hialurónico,Neutrogena ,SNE002,Cuidado de la Piel,N/A,1,N/A,Limpiador en gel hidratante Hydro Boost con ácido hialurónico..jpeg,"C$1,073.00",$879.86,$879.86,,
2,Hidratante para el acné sin aceite,Neutrogena ,SNE003,Cuidado de la Piel,N/A,1,N/A,Hidratante para el acné sin aceite.jpeg,C$870.00,$570.00,$570.00,,
3,Limpiador facial sin aceite para piel con acné,Neutrogena ,SNE001,Cuidado de la Piel,N/A,1,N/A,Limpiador facial sin aceite para piel con acné.jpeg,C$870.00,$570.00,$570.00,,
4,"Hidratante diario con ácido hialurónico, aceite de semilla de jojoba y vitamina E",e.l.f.,SEL002,Cuidado de la Piel,N/A,1,N/A,"1 Hidratante diario con ácido hialurónico, aceite de semilla de jojoba y vitamina E.jpeg",C$703.00,$576.46,$576.46,,
5,"Hidratante diario con ácido hialurónico, aceite de semilla de jojoba y vitamina E",e.l.f.,SEL002,Cuidado de la Piel,N/A,1,N/A,"2 Hidratante diario con ácido hialurónico, aceite de semilla de jojoba y vitamina E.jpeg",C$703.00,$576.46,$576.46,,
6,Loción con protector solar Costa Rica aroma Piña Rosa Amanecer,Bath and Body,BBB001,Cuidado de la Piel,N/A,1,N/A,Loción con protector solar Costa Rica aroma Piña Rosa Amanecer.jpeg,C$666.00,$545.00,$545.00,,
7,"Loción con protector solar Motion Wakiki, aroma Coco de Playa ",Bath and Body,BBB002,Cuidado de la Piel,N/A,1,N/A,"Loción con protector solar Motion Costa Rica, aroma Coco de Playa Waikiki.jpeg",C$666.00,$545.00,$545.00,,
8,Factores Naturales de Hidratación + Ácido Hialurónico de The Ordinary,The Ordinary,SN001,Cuidado de la Piel,N/A,1,Cajas manchadas de azul y suciedad,1 Factores Naturales de Hidratación + Ácido Hialurónico de The Ordinary.jpeg,C$925.00,$600.00,$600.00,,
9,Factores Naturales de Hidratación + Ácido Hialurónico de The Ordinary,The Ordinary,SN001,Cuidado de la Piel,N/A,1,Cajas manchadas de azul y suciedad,2 Factores Naturales de Hidratación + Ácido Hialurónico de The Ordinary.jpeg,C$925.00,$600.00,$600.00,,
10,Factores Naturales de Hidratación + Ácido Hialurónico de The Ordinary,The Ordinary,N/A,Cuidado de la Piel,N/A,1,"Cajas manchadas de azul y suciedad, aboyadura en la caja",3 Factores Naturales de Hidratación + Ácido Hialurónico de The Ordinary.jpeg,C$925.00,$600.00,$600.00,,
11,Suero Ultra Concentrado,CeraVe,SCV001,Cuidado de la Piel,N/A,1,"Caja manchada con suciedas, aboyaduras, manchas amarillas ",Suero Ultra Concentrado.jpeg,"C$1,073.00",$850.00,$850.00,,
12,Bloqueador solar invisible – Ultra protección,La Roche-Posey,SCR002,Cuidado de la Piel,N/A,1,Envoltura de plastico rota,Bloqueador solar invisible – Ultra protección.jpeg,"C$1,110.00",$910.20,$910.20,,
13,Bloqueador SPF 35,e.l.f.,CEL001,Cuidado de la Piel,N/A,1,Manchas pequenas y aboyaduras,Bloqueador SPF 35.jpeg,C$814.00,$667.48,$667.48,,
14,Set para Renovar e Hidratar para exfoliacion avanzada ,The Ordinary,STO02,Cuidado de la Piel,Set,1,Aboyaduras marcas ,Set para Renovar e Hidratar.HEIC,"C$1,110.00",$910.20,$910.20,,
15,Set de cuidado facial Fruit Babies,Glow Recipe,SGR001,Cuidado de la Piel,Set,1,N/A,Set de cuidado facial Fruit Babies.jpeg,"C$2,183.00","$1,887.00","$1,887.00",,
16,Crema de Acido Hialuronico,Yimeixi,SXI001,Cuidado de la Piel,N/A,1,N/A,Crema de acido hialuronico.jpeg,C$481.00,$250.00,$250.00,,
17,Bloqueador Solar ,Centella,SCE001,Cuidado de la Piel,N/A,1,N/A,1 Bloqueador Solar.jpeg,C$555.00,$455.10,$455.10,,
18,Bloqueador Solar ,Centella,SCE001,Cuidado de la Piel,N/A,1,"Caja manchada con suciedas, aboyaduras, manchas amarillas ",2 Bloqueador Solar.jpeg,C$500.00,$395.00,$395.00,,
19,Bloqueador Solar ,Centella,SCE000,Cuidado de la Piel,N/A,1,Caja con aboyaduras.,3Bloqueador Solar.HEIC,C$500.00,$395.00,$395.00,,
20,Bloqueador Solar ,Centella,SCE001,Cuidado de la Piel,N/A,1,Caja con aboyaduras.,4Bloqueador Solar.HEIC,C$500.00,$455.10,$455.10,,
21,Bloqueador Solar ,Centella,SCE001,Cuidado de la Piel,Perfume,1,N/A,5 Bloqueador Solar.HEIC,C$500.00,$455.10,$455.10,,
22,Perfume Very Sexy Oasis,Victoria Secret,PVS001,Perfumeria,Perfume,2,N/A,Perfume Victoria Secret.HEIC,"C$1,665.00","$1,295.00","$2,590.00",,
23,Body fragancia Fabulous,Victoria Secret,FVS001,Perfumeria,Body,1,Aboyadura en la esquina izquierda superior,Body Fragancia Fabolous.jpeg,C$703.00,$500.00,$500.00,,
24,Body fragancia Love Spell,Victoria Secret,FVS006,Perfumeria,Body,1,N/A,Body fragancia Love Spell.jpeg,C$629.00,$500.00,$500.00,,
25,Body fragancia So in Love,Victoria Secret,FVS001,Perfumeria,Body,1,N/A,Body Fragancia So in love.jpeg,C$703.00,$500.00,$500.00,,
26,Body fragancia Sugar Sky,Pink,SVS004,Perfumeria,Body,1,N/A,Fragancia Body Sugar Sky Pink.jpeg,C$629.00,$500.00,$500.00,,
27,Set Body y Locion ,Pink,BPV001,Perfumeria,Set locion y body,1,N/A,Set Body y Locion .jpeg,"C$1,295.00","$1,000.00","$1,000.00",,
28,Mini crema de manos diferentes olores,Shein,N/A,Cuidado de la Piel,Crema de manos ,9,N/A,Mini Crema de Manos.jpeg,,$30.00,$270.00,,
29,Protector Termico Garnier,Garnier ,HGA001,Cuidado del Cabello,Protector Termico,2,N/A,ProtectorTermicoGarnier.jpeg,C$888.00,$500.00,"$1,000.00",,
30,Paleta De Sombra Short But Sweet,Prolux,HPR001,Maquillaje,N/A,1,N/A,1Paleta De Sombra ShortButSweet.jpeg,C$685.00,$561.70,$561.70,,
31,Paleta De Sombra Prismatic ,Prolux,N/A,Maquillaje,Sombra,1,Caja Abierta,,C$0.00,????,$0.00,,
32,Paleta De Sombra Prismatic ,Prolux,MPR002,Maquillaje,Sombra,1,N/A,2Paleta De Sombra Prismatic.jpeg,C$685.00,$500.00,$500.00,,
